Start,End,Duration_Days,Peak_Prob,Event
1988-05-10,1988-05-16,5,0.9994,
1996-04-29,1996-05-03,5,1.0,
2001-07-16,2001-07-23,6,1.0,
2011-05-05,2011-05-11,5,1.0,
