Start,End,Duration_Days,Peak_Prob,Event
2008-10-16,2008-10-23,6,1.0,
2008-11-21,2008-12-01,5,1.0,
2010-11-16,2010-11-24,7,0.9998,
2011-04-15,2011-04-27,7,0.9992,
